image,prediction,probability
StreetView/StreetViewx-80.270659x25.733013.png,COM,0.9491737484931946
StreetView/StreetViewx-80.329965x25.672600.png,RES1,0.9738346934318542
StreetView/StreetViewx-80.268955x25.734800.png,RES3,0.7095780968666077
StreetView/StreetViewx-80.362496x25.582127.png,RES3,0.999824583530426
StreetView/StreetViewx-80.346720x25.587480.png,RES1,0.9997482895851135
StreetView/StreetViewx-80.342326x25.556013.png,RES3,0.0
StreetView/StreetViewx-80.348582x25.663122.png,RES1,0.9999992847442627
StreetView/StreetViewx-80.333836x25.581696.png,RES1,0.8454152345657349
StreetView/StreetViewx-80.356414x25.673573.png,RES1,0.9984771609306335
StreetView/StreetViewx-80.283299x25.720842.png,RES1,0.9984087347984314
StreetView/StreetViewx-80.367490x25.650773.png,RES1,0.9999898672103882
StreetView/StreetViewx-80.338099x25.678876.png,RES1,1.0
StreetView/StreetViewx-80.286438x25.743646.png,RES3,0.8564053177833557
StreetView/StreetViewx-80.336293x25.607705.png,RES1,0.9839310050010681
StreetView/StreetViewx-80.320743x25.579672.png,RES1,0.6482661366462708
StreetView/StreetViewx-80.314863x25.588118.png,RES3,0.0
StreetView/StreetViewx-80.338833x25.624695.png,RES1,0.9738145470619202
StreetView/StreetViewx-80.360559x25.575425.png,RES3,0.0
StreetView/StreetViewx-80.257600x25.770039.png,COM,0.649436354637146
StreetView/StreetViewx-80.325488x25.583817.png,RES1,0.9998648166656494
StreetView/StreetViewx-80.332972x25.582368.png,RES1,1.0
StreetView/StreetViewx-80.341415x25.648641.png,RES3,0.0
StreetView/StreetViewx-80.452545x25.443012.png,RES3,0.0
StreetView/StreetViewx-80.379410x25.672755.png,RES3,0.9713367819786072
StreetView/StreetViewx-80.350686x25.576411.png,RES1,0.9999676942825317
StreetView/StreetViewx-80.263441x25.697725.png,RES1,0.955312967300415
StreetView/StreetViewx-80.343565x25.575621.png,RES3,0.0
StreetView/StreetViewx-80.343126x25.555668.png,RES3,0.0
StreetView/StreetViewx-80.329906x25.590433.png,RES3,0.0
StreetView/StreetViewx-80.481864x25.471835.png,RES1,0.9999895095825195
StreetView/StreetViewx-80.358660x25.684315.png,RES1,0.988926887512207
StreetView/StreetViewx-80.269861x25.724709.png,RES1,0.9999997615814209
StreetView/StreetViewx-80.356105x25.671705.png,RES3,0.0
StreetView/StreetViewx-80.351124x25.595820.png,RES1,0.9999998807907104
StreetView/StreetViewx-80.334753x25.577204.png,RES1,0.9994400143623352
StreetView/StreetViewx-80.347227x25.688954.png,RES3,0.0
StreetView/StreetViewx-80.451869x25.480475.png,RES3,0.0
StreetView/StreetViewx-80.345555x25.580432.png,RES1,1.0
StreetView/StreetViewx-80.438704x25.471819.png,RES3,0.0
StreetView/StreetViewx-80.331539x25.583549.png,RES1,0.9999533891677856
StreetView/StreetViewx-80.338198x25.555968.png,RES3,0.0
StreetView/StreetViewx-80.330647x25.612758.png,RES3,0.8933935165405273
StreetView/StreetViewx-80.287340x25.758278.png,RES1,0.41587552428245544
StreetView/StreetViewx-80.314511x25.590591.png,RES3,0.0
StreetView/StreetViewx-80.333163x25.592720.png,RES1,0.9987800717353821
StreetView/StreetViewx-80.363057x25.699639.png,RES3,0.0
StreetView/StreetViewx-80.325204x25.675390.png,COM,0.6959915161132812
StreetView/StreetViewx-80.334936x25.564172.png,COM,0.9768175482749939
StreetView/StreetViewx-80.310258x25.618170.png,RES3,0.9041646122932434
StreetView/StreetViewx-80.370150x25.639816.png,COM,0.9549484252929688
StreetView/StreetViewx-80.348969x25.570489.png,RES1,0.9990813732147217
StreetView/StreetViewx-80.339362x25.670175.png,RES3,0.0
StreetView/StreetViewx-80.377940x25.651839.png,RES1,1.0
StreetView/StreetViewx-80.445240x25.453077.png,RES3,0.0
StreetView/StreetViewx-80.263460x25.720419.png,RES3,0.9516966342926025
StreetView/StreetViewx-80.269774x25.739690.png,RES3,0.9999997615814209
StreetView/StreetViewx-80.315466x25.615083.png,RES3,0.777945339679718
StreetView/StreetViewx-80.375356x25.664351.png,COM,0.998914361000061
StreetView/StreetViewx-80.476980x25.487941.png,COM,0.9872170090675354
StreetView/StreetViewx-80.335783x25.554799.png,RES3,0.0
StreetView/StreetViewx-80.348474x25.597944.png,COM,1.0
StreetView/StreetViewx-80.336790x25.564762.png,RES1,0.9976366758346558
StreetView/StreetViewx-80.331615x25.583700.png,COM,0.985463559627533
StreetView/StreetViewx-80.347644x25.573813.png,RES3,0.9653361439704895
StreetView/StreetViewx-80.339220x25.689901.png,COM,0.5829203724861145
StreetView/StreetViewx-80.353137x25.671884.png,RES3,0.9999682903289795
StreetView/StreetViewx-80.340857x25.593849.png,RES1,0.8857741355895996
StreetView/StreetViewx-80.350357x25.561812.png,RES1,0.9999215602874756
StreetView/StreetViewx-80.343860x25.559162.png,RES3,0.0
StreetView/StreetViewx-80.358900x25.570394.png,RES3,0.9910290241241455
StreetView/StreetViewx-80.343540x25.581372.png,RES1,0.9998313188552856
StreetView/StreetViewx-80.349632x25.577716.png,RES3,0.9808942675590515
StreetView/StreetViewx-80.478444x25.475060.png,RES3,1.0
StreetView/StreetViewx-80.336889x25.574250.png,RES1,1.0
StreetView/StreetViewx-80.275982x25.709143.png,RES3,0.8888677954673767
StreetView/StreetViewx-80.351994x25.560361.png,RES1,1.0
StreetView/StreetViewx-80.320759x25.613760.png,RES3,0.7349473237991333
StreetView/StreetViewx-80.343382x25.574643.png,COM,0.9999998807907104
StreetView/StreetViewx-80.327681x25.588558.png,RES3,0.0
StreetView/StreetViewx-80.366221x25.681497.png,RES1,0.999975323677063
StreetView/StreetViewx-80.378225x25.691093.png,RES1,1.0
StreetView/StreetViewx-80.500162x25.468790.png,RES3,0.8754115104675293
StreetView/StreetViewx-80.339948x25.556483.png,RES3,0.0
StreetView/StreetViewx-80.357881x25.681350.png,RES1,0.8256013989448547
StreetView/StreetViewx-80.453712x25.460078.png,RES1,1.0
StreetView/StreetViewx-80.319468x25.578540.png,RES1,0.9999531507492065
StreetView/StreetViewx-80.358669x25.582850.png,RES1,0.9492223262786865
StreetView/StreetViewx-80.353839x25.569677.png,RES1,0.9991909861564636
StreetView/StreetViewx-80.282827x25.745526.png,RES1,0.998450517654419
StreetView/StreetViewx-80.384316x25.659185.png,RES1,0.9955660700798035
StreetView/StreetViewx-80.332077x25.690262.png,RES1,0.9990781545639038
StreetView/StreetViewx-80.334039x25.584052.png,RES1,0.8921462893486023
StreetView/StreetViewx-80.348526x25.580131.png,RES1,0.9987360835075378
StreetView/StreetViewx-80.359069x25.571513.png,RES1,0.9999183416366577
StreetView/StreetViewx-80.316988x25.633465.png,RES3,0.687947154045105
StreetView/StreetViewx-80.269569x25.705553.png,RES1,0.9999992847442627
StreetView/StreetViewx-80.378503x25.690317.png,RES1,0.9984819293022156
StreetView/StreetViewx-80.346157x25.591904.png,RES1,0.9999827146530151
StreetView/StreetViewx-80.324061x25.591302.png,RES1,0.5103886127471924
StreetView/StreetViewx-80.266549x25.725231.png,RES1,1.0
StreetView/StreetViewx-80.335866x25.597827.png,RES1,0.9525684118270874
StreetView/StreetViewx-80.334757x25.566439.png,RES3,0.7996827363967896
StreetView/StreetViewx-80.358187x25.591799.png,COM,1.0
StreetView/StreetViewx-80.331115x25.583689.png,RES1,0.9745733737945557
StreetView/StreetViewx-80.355712x25.576188.png,COM,0.976376473903656
StreetView/StreetViewx-80.329415x25.587139.png,RES3,0.0
StreetView/StreetViewx-80.355197x25.592477.png,RES1,0.9443372488021851
StreetView/StreetViewx-80.433293x25.463069.png,COM,0.7510069608688354
StreetView/StreetViewx-80.367320x25.645357.png,COM,0.9944855570793152
StreetView/StreetViewx-80.345950x25.575388.png,RES1,0.9990020394325256
StreetView/StreetViewx-80.278133x25.757205.png,RES1,0.9999996423721313
StreetView/StreetViewx-80.343860x25.579744.png,RES1,0.9919535517692566
StreetView/StreetViewx-80.341722x25.637586.png,RES3,0.976153552532196
StreetView/StreetViewx-80.256120x25.769787.png,RES1,0.9803544878959656
StreetView/StreetViewx-80.383745x25.675356.png,RES3,0.9999920129776001
StreetView/StreetViewx-80.368982x25.698857.png,RES3,0.0
StreetView/StreetViewx-80.354981x25.592889.png,RES1,0.9999914169311523
StreetView/StreetViewx-80.329972x25.665262.png,RES3,0.0
StreetView/StreetViewx-80.336894x25.555444.png,RES3,0.0
StreetView/StreetViewx-80.334772x25.594075.png,RES1,0.9999806880950928
StreetView/StreetViewx-80.282724x25.735250.png,RES1,0.59389328956604
StreetView/StreetViewx-80.342718x25.597495.png,RES3,0.6945691704750061
StreetView/StreetViewx-80.386955x25.682475.png,RES3,0.0
StreetView/StreetViewx-80.352068x25.693902.png,RES1,0.9999942779541016
StreetView/StreetViewx-80.347906x25.672428.png,RES3,0.0
StreetView/StreetViewx-80.260364x25.749727.png,COM,0.7269237041473389
StreetView/StreetViewx-80.378732x25.683100.png,RES3,0.0
StreetView/StreetViewx-80.385198x25.678590.png,RES1,0.5844597220420837
StreetView/StreetViewx-80.307160x25.640397.png,COM,0.5852002501487732
StreetView/StreetViewx-80.361143x25.691001.png,RES3,0.0
StreetView/StreetViewx-80.323881x25.574807.png,RES3,0.9660953879356384
StreetView/StreetViewx-80.314861x25.620107.png,RES1,0.9999997615814209
StreetView/StreetViewx-80.357490x25.573870.png,RES1,0.9999988079071045
StreetView/StreetViewx-80.348197x25.560731.png,RES1,0.945081353187561
StreetView/StreetViewx-80.345090x25.587336.png,RES1,0.9996040463447571
StreetView/StreetViewx-80.373971x25.699429.png,RES3,0.0
StreetView/StreetViewx-80.487450x25.485547.png,RES1,0.9999997615814209
StreetView/StreetViewx-80.352628x25.591968.png,RES1,0.9999904632568359
StreetView/StreetViewx-80.344272x25.557240.png,RES3,0.0
StreetView/StreetViewx-80.351068x25.560875.png,RES3,0.6394498944282532
StreetView/StreetViewx-80.442558x25.463098.png,RES3,0.0
StreetView/StreetViewx-80.340447x25.570031.png,RES3,0.9903162121772766
StreetView/StreetViewx-80.350651x25.566848.png,COM,0.6590501666069031
StreetView/StreetViewx-80.369364x25.641549.png,COM,0.9994639754295349
StreetView/StreetViewx-80.263899x25.750094.png,RES1,0.9999992847442627
StreetView/StreetViewx-80.315933x25.591883.png,RES3,0.0
StreetView/StreetViewx-80.361250x25.665920.png,RES1,0.6994997262954712
StreetView/StreetViewx-80.335618x25.573403.png,RES1,0.7628656625747681
StreetView/StreetViewx-80.355267x25.584624.png,RES3,0.9739112257957458
StreetView/StreetViewx-80.336290x25.556408.png,RES3,0.0
StreetView/StreetViewx-80.339047x25.659702.png,RES1,0.9999991655349731
StreetView/StreetViewx-80.313732x25.637909.png,RES3,0.9911720156669617
StreetView/StreetViewx-80.345726x25.637754.png,RES1,0.9999115467071533
StreetView/StreetViewx-80.338125x25.555646.png,RES3,0.0
StreetView/StreetViewx-80.351995x25.573371.png,RES1,0.9999532699584961
StreetView/StreetViewx-80.317396x25.587338.png,RES3,0.0
StreetView/StreetViewx-80.354408x25.563544.png,RES3,0.9728935360908508
StreetView/StreetViewx-80.277451x25.671522.png,RES3,0.765127956867218
StreetView/StreetViewx-80.285318x25.729620.png,RES1,0.9421801567077637
StreetView/StreetViewx-80.321183x25.587179.png,RES3,0.0
StreetView/StreetViewx-80.336724x25.585567.png,RES1,0.9990547299385071
StreetView/StreetViewx-80.339105x25.641261.png,RES3,0.0
StreetView/StreetViewx-80.458798x25.461441.png,RES1,0.9999129772186279
StreetView/StreetViewx-80.351478x25.571430.png,RES3,0.999575674533844
StreetView/StreetViewx-80.351853x25.635769.png,RES1,0.9982039928436279
StreetView/StreetViewx-80.356609x25.588933.png,COM,0.9950549602508545
StreetView/StreetViewx-80.335065x25.555533.png,RES3,0.0
StreetView/StreetViewx-80.280974x25.757196.png,RES1,0.9968223571777344
StreetView/StreetViewx-80.354430x25.576128.png,RES1,0.9999983310699463
StreetView/StreetViewx-80.248666x25.708922.png,RES1,0.9986397624015808
StreetView/StreetViewx-80.347065x25.588431.png,RES3,0.9995856881141663
StreetView/StreetViewx-80.326879x25.582810.png,RES3,0.8745926022529602
StreetView/StreetViewx-80.337135x25.568942.png,RES3,0.7040984630584717
StreetView/StreetViewx-80.483035x25.487575.png,RES1,0.9998816251754761
StreetView/StreetViewx-80.337867x25.592567.png,RES1,0.9999085664749146
StreetView/StreetViewx-80.338415x25.574623.png,RES3,0.6852689981460571
StreetView/StreetViewx-80.273809x25.729820.png,RES3,0.9997163414955139
StreetView/StreetViewx-80.325493x25.575807.png,RES1,0.7009918093681335
StreetView/StreetViewx-80.352845x25.583562.png,RES1,0.6236463189125061
StreetView/StreetViewx-80.334945x25.564792.png,RES3,0.9880091547966003
StreetView/StreetViewx-80.344974x25.561733.png,RES3,0.0
StreetView/StreetViewx-80.332124x25.575098.png,RES1,0.9999845027923584
StreetView/StreetViewx-80.421526x25.482109.png,RES3,0.0
StreetView/StreetViewx-80.355230x25.576265.png,RES3,0.9714503884315491
StreetView/StreetViewx-80.275489x25.744609.png,RES1,0.999768078327179
StreetView/StreetViewx-80.352262x25.569744.png,RES1,0.7812312245368958
StreetView/StreetViewx-122.344270x37.932641.png,RES1,0.9999998807907104
StreetView/StreetViewx-80.339368x25.565114.png,RES1,0.998023271560669
StreetView/StreetViewx-80.331329x25.674175.png,RES1,0.9998948574066162
StreetView/StreetViewx-80.348955x25.683326.png,RES1,0.992474377155304
StreetView/StreetViewx-80.380693x25.692355.png,RES3,0.9959122538566589
